sep=,
"area_name","population_total","population_male","population_female","deaths_num_total","deaths_num_male","deaths_num_female","deaths_num_infant","deaths_num_neonatal","deaths_num_perinatal","deaths_rate_crude","deaths_rate_agestd_total","deaths_rate_agestd_male","deaths_rate_agestd_female","deaths_rate_infant","deaths_rate_neonatal","deaths_rate_perinatal"
"Barnet","357500","173400","184100","2305","1038","1267","19","13","33","6.4","437.8","502","385.1","3.5","2.4","6"
"Bexley","232800","112100","120700","1847","895","952","9","4","13","7.9","481.9","588.8","398","2.8","1.3","4.1"
"Brent","312200","157300","155000","1471","791","680","31","21","50","4.7","458","561.7","368.1","5.9","4","9.5"
"Bromley","310600","149200","161400","2530","1159","1371","8","5","24","8.1","453.5","531.7","389","1.9","1.2","5.8"
"Croydon","364800","176900","187900","2365","1145","1220","23","13","43","6.5","513","606.6","435.6","4","2.3","7.5"
"Ealing","339300","169800","169500","1866","970","896","24","18","56","5.5","499","605.3","404.4","4.1","3.1","9.6"
"Enfield","313900","151500","162400","1846","921","925","21","10","41","5.9","455.5","568.5","370.2","4.3","2","8.3"
"Greenwich","255500","126900","128600","1543","778","765","14","12","40","6","553","689.1","449.6","3.1","2.6","8.7"
"Harrow","240500","118900","121600","1414","711","703","18","11","23","5.9","410.8","497.7","336.8","5.2","3.2","6.6"
"Havering","237900","114500","123400","2105","999","1106","12","8","21","8.8","477.8","584.1","395.2","4.1","2.8","7.2"
"Hillingdon","275500","136800","138700","1780","866","914","13","8","30","6.5","481.9","556.5","418.9","3","1.8","6.8"
"Hounslow","254900","128100","126800","1403","696","707","20","14","38","5.5","513","600.5","443.6","4.4","3.1","8.3"
"Kingston upon Thames","160400","78400","82100","1029","484","545","8","8","11","6.4","453.2","550","375.1","3.5","3.5","4.8"
"Merton","200500","99000","101500","1171","566","605","15","9","26","5.8","480.8","572.2","407.3","4.2","2.5","7.3"
"Redbridge","281400","139500","141900","1733","835","898","15","7","40","6.2","474.7","563.2","406.7","3.3","1.5","8.6"
"Richmond upon Thames","187500","91400","96100","1153","545","608","11","9","13","6.1","412","501.6","341.7","3.7","3.1","4.4"
"Sutton","191100","92900","98200","1371","670","701","6","5","18","7.2","474.9","577.9","398.4","2.2","1.8","6.5"
"Waltham Forest","259700","130000","129800","1340","643","697","26","14","32","5.2","487.5","566.8","427.7","5.4","2.9","6.6"
"SOUTH EAST","8652800","4251400","4401400","74135","35196","38939","380","259","734","8.6","482.4","568.5","410.9","3.5","2.4","6.8"
"Bracknell Forest UA","113700","56500","57200","701","307","394","4","2","13","6.2","470.6","499.7","441.7","2.5","0","8.2"
"Brighton and Hove UA","273000","136200","136800","2081","978","1103","16","16","27","7.6","533.2","624","456.9","4.9","4.9","8.2"
"Isle of Wight UA","138400","67500","70900","1601","745","856","5","3","12","11.6","483.3","565.1","415.3","3.8","2.3","9"
"Medway UA","264900","131400","133500","2013","978","1035","12","8","23","7.6","557.6","658.6","474.8","3.4","2.2","6.4"
"Milton Keynes UA","249900","123600","126300","1552","763","789","12","9","30","6.2","538.2","644.6","453.6","3.1","2.3","7.6"
"Portsmouth UA","205400","103900","101600","1706","839","867","4","3","13","8.3","601","729.6","495.5","1.5","1.1","4.8"
"Reading UA","155300","77900","77400","1019","502","517","13","10","23","6.6","534.1","630.4","444.4","5","3.9","8.9"
"Slough UA","140700","70400","70300","777","410","367","18","11","22","5.5","570.4","700","460.7","6.4","3.9","7.8"
"Southampton UA","235900","119200","116700","1750","843","907","14","6","29","7.4","551.9","657.9","458.1","3.9","1.7","8.1"
"West Berkshire UA","154100","76400","77700","1122","581","541","8","5","11","7.3","471.7","573.3","386.1","4","2.5","5.5"
"Windsor and Maidenhead UA","145100","71700","73400","1141","532","609","9","6","15","7.9","451.4","522.1","390.7","5","3.4","8.4"
"Wokingham UA","154900","76700","78200","1044","493","551","6","6","16","6.7","434.6","491.8","384.2","3.2","3.2","8.5"
"Buckinghamshire","506600","249000","257600","3793","1863","1930","20","16","58","7.5","447.5","536","374.1","3.3","2.6","9.4"
"Aylesbury Vale","174900","86600","88300","1284","656","628","8","7","24","7.3","483.8","606.8","385.5","3.6","3.1","10.7"
"Chiltern","92700","45000","47600","724","338","386","3","3","10","7.8","404.9","462.7","354.1","3.3","3.3","10.8"
"South Bucks","67100","32500","34500","572","290","282","2","1","7","8.5","419.5","515.6","353.7","0","0","9.6"
"Wycombe","172000","84800","87200","1213","579","634","7","5","17","7.1","453","522.5","389.6","3.1","2.2","7.5"
"East Sussex","527200","254100","273100","6139","2820","3319","21","16","36","11.6","496","586.5","421.3","3.9","3","6.6"
"Eastbourne","99300","47600","51700","1204","517","687","2","2","6","12.1","504.2","580.8","440.4","0","0","5"
"Hastings","90200","44000","46200","988","469","519","6","4","9","11","633.1","768.1","513","5","3.3","7.5"
"Lewes","97600","47300","50200","1050","504","546","4","3","6","10.8","466.4","564.6","389.2","4.2","3.2","6.3"
"Rother","90700","43100","47600","1286","580","706","7","5","5","14.2","479.4","555.7","416.5","9.3","6.6","6.6"
"Wealden","149400","72100","77400","1611","750","861","2","2","10","10.8","455.9","536.6","392.5","0","0","7.6"
"Hampshire","1322100","647500","674600","11397","5389","6008","50","30","81","8.6","454.5","524.8","396.7","3.3","2","5.3"
"Basingstoke and Deane","168600","83500","85000","1176","535","641","8","6","18","7","485.7","519.4","452.5","3.4","2.5","7.6"
"East Hampshire","116000","56500","59500","1047","470","577","3","2","5","9","447.1","507.5","397.9","2.5","0","4.2"
"Eastleigh","125900","61700","64200","911","448","463","5","3","11","7.2","414.2","500.5","348","3.2","1.9","7.1"
"Fareham","111900","54800","57100","1091","510","581","5","3","11","9.7","466.2","519.9","424","4.5","2.7","9.8"
"Gosport","82700","40800","41900","766","366","400","7","2","0","9.3","548.3","631.2","479","6.8","0","0"
"Hart","91700","45600","46000","587","271","316","0","0","0","6.4","391.2","427.2","359.9","0","0","0"
"Havant","120800","58600","62200","1258","610","648","7","6","10","10.4","519.8","592.3","462.7","5.2","4.5","7.4"
"New Forest","176800","84900","91900","1998","928","1070","7","1","8","11.3","424.5","493.8","366","4.4","0","5"
"Rushmoor","94400","47200","47200","624","302","322","3","3","0","6.6","506.7","612.4","417.8","2.1","2.1","0"
"Test Valley","116700","57100","59600","962","491","471","3","2","0","8.2","449.4","564.8","356.8","2.3","0","0"
"Winchester","116800","56800","60000","977","458","519","2","2","5","8.4","415.2","493.1","353.6","0","0","4"
"Kent","1466500","717200","749200","13434","6437","6997","61","38","119","9.2","504.8","603.6","423.2","3.5","2.2","6.7"
"Ashford","118400","57400","61000","888","428","460","3","2","8","7.5","439.1","517.3","377.6","2.1","0","5.5"
"Canterbury","150600","72600","78000","1481","693","788","5","4","8","9.8","490.3","591.9","410.2","3.4","2.7","5.4"
"Dartford","97600","48200","49400","858","382","476","4","3","11","8.8","578.4","623.3","536","2.7","2","7.4"
"Dover","111700","54800","56900","1231","582","649","5","2","6","11","559.4","655.5","472.9","4.3","0","5.1"
"Gravesham","101800","50200","51600","832","407","425","4","4","15","8.2","521.2","622.1","427.7","2.9","2.9","10.7"
"Maidstone","155800","76900","78900","1307","616","691","9","5","21","8.4","481.6","572.6","407.3","4.5","2.5","10.5"
"Sevenoaks","115400","56000","59400","997","467","530","6","4","8","8.6","446.7","524.8","381.1","4.5","3","5.9"
"Shepway","108200","53300","54900","1159","579","580","4","2","10","10.7","523.5","650.4","416.2","3.4","0","8.4"
"Swale","136300","67400","68900","1160","557","603","10","4","12","8.5","531.2","619.1","466.2","5.9","2.3","7"
"Thanet","134400","64700","69800","1689","834","855","3","2","6","12.6","602.2","760.8","476.7","1.8","0","3.5"
"Tonbridge and Malling","121100","59300","61800","933","454","479","6","5","8","7.7","466.1","550.4","395.9","4.4","3.7","5.9"
"Tunbridge Wells","115200","56600","58700","899","438","461","2","1","6","7.8","428.8","540.4","338.7","0","0","4.4"
"Oxfordshire","654800","324100","330700","5058","2476","2582","31","22","54","7.7","476.2","566.8","400.2","3.6","2.6","6.3"
"Cherwell","142300","70400","71900","1025","506","519","7","6","18","7.2","470.6","560.8","400.4","3.6","3.1","9.3"
"Oxford","150200","74800","75500","949","487","462","7","7","12","6.3","546.6","700.9","412.1","3.4","3.4","5.7"
"South Oxfordshire","135000","66400","68500","1117","543","574","8","5","12","8.3","456.9","539.3","389.4","4.8","3","7.2"
"Vale of White Horse","121900","60700","61200","1044","503","541","4","2","6","8.6","465.8","541.8","400.4","2.6","0","3.9"
"West Oxfordshire","105400","51900","53500","923","437","486","5","2","6","8.8","465.5","531.8","409.7","3.8","0","4.5"
"Surrey","1135400","556400","578900","9419","4408","5011","41","29","89","8.3","446.2","524","380.7","2.9","2.1","6.3"
"Elmbridge","131400","63700","67700","1055","499","556","7","3","11","8","442","519.8","381.5","3.7","1.6","5.8"
"Epsom and Ewell","75200","36500","38700","572","261","311","1","0","6","7.6","413.6","465","367.3","0","0","6.4"
"Guildford","137600","68400","69200","964","469","495","6","6","7","7","419.2","504.4","348.6","3.6","3.6","4.2"
"Mole Valley","85600","41900","43800","805","395","410","1","1","5","9.4","425.7","525.9","340","0","0","5.7"
"Reigate and Banstead","138400","67700","70700","1237","539","698","3","2","10","8.9","470.5","542.8","402.7","1.6","0","5.3"
"Runnymede","80500","39200","41300","672","324","348","1","1","0","8.3","471.3","563.5","397.6","0","0","0"
"Spelthorne","95900","47200","48700","867","435","432","3","2","12","9","508.9","617.9","413.3","2.4","0","9.6"
"Surrey Heath","86400","43000","43400","692","317","375","2","1","0","8","463.1","528.4","406.7","0","0","0"
"Tandridge","83200","40300","42900","767","361","406","5","4","9","9.2","469.5","555.6","400.3","5.5","4.4","9.8"
"Waverley","121800","59400","62400","1050","473","577","6","5","8","8.6","407","465.8","358","4.6","3.9","6.2"
"Woking","99500","49300","50200","738","335","403","6","4","14","7.4","445.7","504.3","399.6","4.1","2.8","9.6"
"West Sussex","808900","391700","417200","8388","3832","4556","35","23","63","10.4","473.4","551.6","411.2","3.8","2.5","6.8"
"Adur","61300","29600","31700","690","308","382","2","1","0","11.2","493.2","571.9","420.2","0","0","0"
"Arun","149800","71500","78300","1997","956","1041","6","3","13","13.3","501.1","610.1","415.9","3.8","1.9","8.2"
"Chichester","114000","54500","59500","1366","599","767","5","3","0","12","473.1","534.6","419.5","4.4","2.6","0"
"Crawley","107100","52900","54100","732","370","362","7","3","11","6.8","493.8","615.3","400.9","4.1","1.7","6.4"
"Horsham","131500","64000","67600","1149","542","607","4","3","6","8.7","426.5","497.1","378","3.1","2.3","4.6"
"Mid Sussex","140200","68600","71500","1222","514","708","7","6","13","8.7","434.9","477.9","399.6","4.6","3.9","8.5"
"Worthing","105000","50600","54400","1232","543","689","4","4","11","11.7","513.6","599.4","445.9","3.2","3.2","8.6"
"SOUTH WEST","5300800","2599200","2701600","51382","24490","26892","227","168","418","9.7","486.5","575.7","411.2","3.7","2.8","6.8"
"Bath and North East Somerset UA","175500","85900","89600","1560","761","799","4","3","15","8.9","468.3","576.2","379.6","2.2","1.6","8.2"
"Bournemouth UA","183500","91600","91900","1908","912","996","8","7","14","10.4","534.3","647.1","434.1","3.4","3","6"
"Bristol‚ City of UA","428100","213400","214700","3290","1595","1695","20","17","45","7.7","556.2","668.5","464.2","3","2.5","6.7"
"Cornwall UA and Isles of Scilly UA3","536000","259600","276400","5663","2764","2899","33","22","39","10.6","502.9","606.2","416.9","5.7","3.8","6.7"
"North Somerset UA","203100","98700","104400","2214","1013","1201","12","9","12","10.9","512.8","595.8","442.5","5.1","3.9","5.1"
"Plymouth UA","256600","127200","129400","2236","1096","1140","18","14","40","8.7","548.6","658.7","453.3","5.5","4.3","12.1"
"Poole UA","148100","72400","75600","1524","713","811","7","4","13","10.3","479.2","566.5","405.4","4","2.3","7.3"
"South Gloucestershire UA","263400","130699","132700","2011","980","1031","5","4","12","7.6","456","538.5","380.3","1.6","1.3","3.8"
"Swindon UA","209700","104900","104800","1605","775","830","8","6","22","7.7","539.2","614.9","476.6","2.7","2","7.3"
"Torbay UA","131200","63200","68000","1672","728","944","6","5","10","12.7","538.4","601.8","480.4","4","3.3","6.6"
"Wiltshire UA","474300","234300","240100","4138","1964","2174","19","17","39","8.7","476","553.2","413.3","3.5","3.1","7.1"
"Devon","747700","362900","384800","8102","3763","4339","34","25","53","10.8","470.8","550.6","403.3","4.5","3.3","7"
"East Devon","133300","64000","69300","1730","761","969","4","3","7","13","434.3","487.1","387.8","3.6","2.7","6.3"
"Exeter","117100","57000","60100","962","425","537","8","6","8","8.2","503.8","575.3","454.2","5.5","4.1","5.4"
"Mid Devon","77900","38100","39800","728","394","334","7","4","7","9.3","470.5","617.3","346.3","8.1","4.6","8.1"
"North Devon","94000","45800","48200","1055","486","569","7","7","14","11.2","510.5","586.7","445.9","6.5","6.5","12.9"
"South Hams","83600","40500","43100","873","404","469","1","1","0","10.4","427.7","498","367.3","0","0","0"
"Teignbridge","124300","60200","64099","1422","666","756","5","3","5","11.4","475","567.5","392.7","4.3","2.6","4.3"
"Torridge","64000","31300","32700","750","351","399","2","1","5","11.7","515.6","585","457.9","0","0","7.8"
"West Devon","53700","26200","27500","582","276","306","0","0","0","10.8","466.1","568","382.8","0","0","0"
"Dorset","413800","201700","212100","4623","2251","2372","11","6","18","11.2","429.3","511","361.2","3","1.6","4.9"
"Christchurch","47900","22900","25000","636","316","320","0","0","0","13.3","414.9","513.7","334.5","0","0","0"
"East Dorset","87300","42000","45300","1008","490","518","1","0","0","11.5","379.3","445.4","323.9","0","0","0"
"North Dorset","69000","34500","34500","631","321","310","1","0","0","9.1","426.2","524.5","344.5","0","0","0"
"Purbeck","45200","22200","23000","457","233","224","2","2","0","10.1","435.5","528.5","352.3","0","0","0"
"West Dorset","99300","47700","51600","1206","565","641","1","1","0","12.1","425.4","500.3","368.7","0","0","0"
"Weymouth and Portland","65099","32400","32700","685","326","359","6","3","5","10.5","519.9","593.7","451.4","9","4.5","7.5"
"Gloucestershire","598300","293300","305000","5470","2656","2814","19","10","43","9.1","484.1","583.6","401.2","2.8","1.5","6.4"
"Cheltenham","115600","56500","59100","977","466","511","3","1","6","8.4","469.4","566","391.5","2.1","0","4.2"
"Cotswold","83200","40200","43000","800","382","418","2","0","5","9.6","422.9","507","357.6","0","0","7.1"
"Forest of Dean","82200","40400","41800","823","391","432","4","3","0","10","512.6","594.2","437.2","5.1","3.8","0"
"Gloucester","121900","60100","61800","1003","536","467","5","2","13","8.2","556.7","727.6","416.9","2.8","0","7.1"
"Stroud","113100","55700","57400","1075","485","590","2","2","12","9.5","466.7","534.9","406.2","0","0","10.8"
"Tewkesbury","82300","40300","41900","792","396","396","3","2","0","9.6","488.3","591.6","403.5","3.3","0","0"
"Somerset County","531600","259300","272200","5366","2519","2847","23","19","43","10.1","467","550.3","396.1","4","3.3","7.4"
"Mendip","109400","53400","56000","1014","476","538","7","6","17","9.3","458.5","540.5","387.4","6","5.2","14.5"
"Sedgemoor","114900","56200","58700","1097","538","559","2","1","6","9.5","461.8","548.5","391.6","0","0","4.8"
"South Somerset","162100","79600","82500","1611","741","870","8","7","15","9.9","455.4","522","397.8","4.5","4","8.5"
"Taunton Deane","110600","53600","57000","1184","564","620","3","2","0","10.7","496.6","615.4","396.3","2.3","0","0"
"West Somerset","34600","16500","18100","460","200","260","3","3","0","13.3","484.5","539.2","437.2","9.8","9.8","0"
"WALES","3063800","1504500","1559300","30426","14942","15484","140","97","236","9.9","562.8","673.3","471.6","3.9","2.7","6.6"
"Isle of Anglesey","69900","34400","35500","783","377","406","5","4","10","11.2","521.9","625.5","431.5","6.5","5.2","12.9"
"Gwynedd","121500","59700","61800","1173","593","580","6","4","16","9.7","485.1","615.8","378.9","4.5","3","12"
"Conwy","115300","55800","59500","1475","689","786","7","5","10","12.8","542.9","645.2","456.2","5.9","4.2","8.4"
"Denbighshire","93900","46100","47800","1072","510","562","3","2","7","11.4","571.5","642.6","514.4","2.7","0","6.3"
"Flintshire","152700","75300","77400","1339","672","667","5","5","6","8.8","528.8","620.2","453.7","2.9","2.9","3.5"
"Wrexham","135100","67100","67900","1247","605","642","8","4","7","9.2","559.9","652.5","480.8","4.6","2.3","4"
"Powys","133100","65800","67300","1426","718","708","3","3","12","10.7","488.6","579.6","413.1","2.4","2.4","9.7"
"Ceredigion","75300","37500","37800","774","386","388","2","2","0","10.3","515.9","622","424","0","0","0"
"Pembrokeshire","122600","60000","62700","1303","646","657","4","0","0","10.6","522.6","616.5","447.1","3.1","0","0"
"Carmarthenshire","184000","89900","94100","2052","992","1060","1","1","7","11.2","549.6","651.7","466","0","0","3.6"
"Swansea","238700","118000","120700","2414","1207","1207","13","8","21","10.1","586.6","717.3","480.6","4.8","2.9","7.7"
"Neath Port Talbot","139900","68400","71500","1601","793","808","6","5","12","11.4","647.1","781.7","539.5","3.8","3.1","7.5"
"Bridgend","139400","68900","70500","1450","687","763","8","4","5","10.4","631.8","723","549.3","4.6","2.3","2.9"
"Vale of Glamorgan","126700","61700","64900","1104","541","563","3","3","9","8.7","482.2","587.4","408.2","2.1","2.1","6.1"
"Cardiff","345400","169900","175600","2609","1285","1324","21","18","35","7.6","547.7","669.8","452.9","4.4","3.8","7.3"
"Rhondda‚ Cynon‚ Taff","234400","114600","119800","2451","1209","1242","11","6","14","10.5","658.9","793.5","545.3","3.7","2","4.6"
"Merthyr Tydfil","58900","28800","30100","588","293","295","4","3","8","10","633.3","776.1","509.4","5.2","3.9","10.4"
"Caerphilly","178800","87600","91100","1672","822","850","7","4","16","9.4","603.2","721.9","505.1","3.3","1.9","7.6"
"Blaenau Gwent","69800","34300","35500","791","392","399","7","4","0","11.3","704.7","833","591.7","8.9","5.1","0"
"Torfaen","91200","44400","46800","913","455","458","7","6","12","10","574","708.7","459.1","6.4","5.5","10.9"
"Monmouthshire","91500","45000","46500","880","436","444","4","2","6","9.6","484.5","578.1","407.8","5.1","0","7.6"
"Newport","145800","71400","74400","1309","634","675","5","4","11","9","563.4","658.1","481.1","2.6","2.1","5.7"
"Outside England and Wales","NaN","NaN","NaN","1079","650","429","28","14","32","..","..","..","..","..","..",".."
"SCOTLAND1","5254800","2548200","2706600","53661","25913","27748","238","159","409","10.2","640.9","765.8","539.9","4.1","2.7","6.9"
"Council areas","NaN","NaN","NaN",,,,,,,,,,,,,
"Aberdeen City","220400","109300","111200","1973","957","1016","8","5","11","9","618","739.3","511.4","3.1","1.9","4.2"
"Aberdeenshire","247600","122900","124700","2191","1074","1117","8","3","17","8.8","550.4","631.5","479.4","3","1.1","6.3"
"Angus","110600","53700","56900","1222","571","651","6","3","10","11","579.8","656.8","515.6","5.2","2.6","8.6"
"Argyll & Bute","89600","44600","45000","1047","521","526","0","0","2","11.7","588","701.6","503.8","0","0","0"
"Clackmannanshire","50800","24900","25900","477","238","239","1","0","5","9.4","636","765","548.4","0","0","8.8"
"Dumfries & Galloway","148100","71700","76400","1707","800","907","3","2","2","11.5","569.3","649.5","503.3","2.1","0","0"
"Dundee City","145600","69500","76100","1660","819","841","10","7","13","11.4","707","856","590.8","5.7","4","7.3"
"East Ayrshire","120200","58200","62000","1319","634","685","7","5","6","11","675.6","793.8","580.8","5.1","3.7","4.4"
"East Dunbartonshire","104600","50400","54200","950","465","485","0","0","3","9.1","498.1","610.9","410.3","0","0","3.2"
"East Lothian","98200","47100","51000","966","454","512","5","3","9","9.8","580.8","672.4","504.8","4.4","2.7","7.9"
"East Renfrewshire","89900","43100","46800","825","379","446","1","0","6","9.2","515.2","624.4","434","0","0","7.4"
"Edinburgh City of","495400","239700","255600","4232","2013","2219","22","15","35","8.5","590.1","712.9","492.2","4","2.7","6.3"
"Eilean Siar","26100","12800","13300","365","169","196","3","3","3","14","701.2","807.6","633.3","12.8","12.8","12.8"
"Falkirk","154400","74900","79500","1548","771","777","7","5","13","10","660.3","792.8","558.3","4","2.8","7.4"
"Fife","367400","177300","190000","3759","1824","1935","16","12","35","10.2","610","744.2","508.5","3.7","2.8","8.2"
"Glasgow City","598800","290600","308300","6403","3201","3202","45","33","71","10.7","840.5","1080.6","661.7","5.9","4.3","9.2"
"Highland","222400","109100","113200","2440","1197","1243","14","10","23","11","624.9","741.4","523.6","6","4.3","9.8"
"Inverclyde","79200","37800","41400","1013","488","525","1","0","7","12.8","770.5","962.9","607","0","0","8.5"
"Midlothian","82400","39300","43000","782","375","407","6","3","7","9.5","601.2","704.4","509.3","6.1","3.1","7.1"
"Moray","87300","43800","43500","983","482","501","2","2","4","11.3","628.1","738.5","525.7","0","0","4.1"
"North Ayrshire","135100","64099","71000","1535","756","779","12","7","13","11.4","676.9","839.9","550.4","8.3","4.8","8.9"
"North Lanarkshire","326700","157300","169400","3381","1606","1775","18","13","27","10.3","742.2","875.1","633.7","4.5","3.3","6.7"
"Orkney Islands","20200","10000","10200","209","100","109","0","0","0","10.4","567.5","642","493.7","0","0","0"
"Perth & Kinross","149500","73500","76000","1496","717","779","1","0","7","10","513.7","606.4","438.5","0","0","4.8"
"Renfrewshire","170700","81800","88800","1838","916","922","6","5","19","10.8","686.2","841.9","565.3","3.3","2.7","10.3"
"Scottish Borders","113200","54900","58200","1234","574","660","3","1","7","10.9","567.5","640.4","499.2","2.7","0","6.3"
"Shetland Islands","22500","11400","11100","231","103","128","0","0","3","10.3","625.4","665.2","563.7","0","0","12.2"
"South Ayrshire","111600","53500","58000","1412","655","757","8","3","8","12.7","621.6","712.5","551.1","7.5","2.8","7.4"
"South Lanarkshire","312700","149900","162800","3214","1511","1703","12","11","24","10.3","651.6","767.1","559.8","3.4","3.1","6.8"
"Stirling","90800","43300","47400","782","350","432","2","0","1","8.6","521.5","600.4","463.3","0","0","0"
"West Dunbartonshire","90400","43000","47400","1043","526","517","5","4","5","11.5","762.3","996.6","585.9","4.7","3.8","4.7"
"West Lothian","173000","84600","88400","1424","667","757","6","4","13","8.2","649.7","718","590.8","2.8","1.9","6.1"
"NORTHERN IRELAND1","1806900","888500","918300","14204","6918","7286","110","88","164","7.9","566.5","683","471.4","4.3","3.4","6.4"
"Local Government District","NaN","NaN","NaN",,,,,,,,,,,,,
"Antrim","54500","27000","27400","369","192","177","3","3","4","6.8","566.7","685.3","459.3","3.9","3.9","5.1"
"Ards","78300","38400","39900","661","317","344","6","4","9","8.4","530.2","620.4","452","6.7","4.5","10"
"Armagh","60100","29700","30400","439","219","220","4","4","4","7.3","545.3","667.4","441.7","4.3","4.3","4.3"
"Ballymena","63800","31300","32500","532","270","262","4","4","4","8.3","528.2","656.9","420.1","4.8","4.8","4.8"
"Ballymoney","30800","15300","15500","230","134","96","3","3","1","7.5","555.2","766.9","386.2","7.6","7.6","0"
"Banbridge","48400","24200","24300","327","168","159","5","5","7","6.8","506.1","624.8","412.2","7.4","7.4","10.3"
"Belfast","267600","128600","139000","2593","1204","1389","13","11","22","9.7","690","840.2","567.8","3.2","2.7","5.4"
"Carrickfergus","40100","19400","20600","357","177","180","2","2","2","8.9","607.7","775.7","481.9","0","0","0"
"Castlereagh","67300","32400","34900","637","302","335","4","3","4","9.5","536.8","668.6","440.9","4.9","3.7","4.9"
"Coleraine","56700","27600","29100","505","266","239","4","2","5","8.9","547.9","710.7","426.3","5.9","0","7.4"
"Cookstown","37100","18600","18500","234","109","125","4","4","6","6.3","502.8","564.8","434.7","7.2","7.2","10.7"
"Craigavon","94800","47000","47700","663","337","326","7","4","8","7","564.5","689","459.9","4.6","2.7","5.3"
"Derry","109900","53800","56100","744","366","378","5","3","12","6.8","619.3","737.5","531.4","2.8","1.7","6.6"
"Down","71100","35400","35700","525","253","272","5","4","6","7.4","521.1","597.2","448.6","5.4","4.3","6.5"
"Dungannon","58600","29600","28900","406","217","189","3","2","2","6.9","577.7","756.4","444.1","3.4","0","0"
"Fermanagh","63300","32000","31400","481","225","256","6","4","8","7.6","517","588.7","444.2","7.2","4.8","9.6"
"Larne","31600","15500","16100","264","134","130","1","1","1","8.3","539.2","661.2","440.3","0","0","0"
"Limavady","33900","17000","16900","211","105","106","1","1","4","6.2","501.9","642.9","411.4","0","0","8.1"
"Lisburn","118700","57900","60800","880","398","482","6","6","10","7.4","577.7","649.6","500.1","3.4","3.4","5.6"
"Magherafelt","45100","22900","22300","298","150","148","1","0","3","6.6","565.4","689.3","468.1","0","0","4.4"
"Moyle","17000","8400","8600","159","77","82","1","1","1","9.4","569.7","650.8","499.7","0","0","0"
"Newry and Mourne","100900","50100","50800","643","322","321","7","6","12","6.4","549.8","668.9","452.9","3.9","3.4","6.7"
"Newtownabbey","83700","40700","43100","674","319","355","3","1","4","8","532.4","626.7","461.8","2.6","0","3.5"
"North Down","80200","39100","41100","770","345","425","4","3","9","9.6","521","624.1","450.5","4.1","3.1","9.1"
"Omagh","53300","26500","26800","324","166","158","3","2","5","6.1","493.1","600.9","410.2","4","0","6.7"
"Strabane","40200","20100","20100","278","146","132","5","5","11","6.9","557.1","665.2","471.2","8.9","8.9","19.5"
